id,tmdb_id,titulo,anio,tipo,genero,director,elenco,estado,nota_personal,nota_imdb,pendiente,favorito,keywords
33,131634,Los Juegos del Hambre: Sinsajo - Parte 2,2015,película,"Acción, Aventura, Ciencia ficción",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks",Released,8.7,6.9,f,f,"{""based on novel or book"",dystopia,""based on young adult novel"",""death match"",revolution,""strong woman""}"
34,22803,Un ciudadano ejemplar,2009,película,"Drama, Crimen, Suspense",F. Gary Gray,"Jamie Foxx, Gerard Butler, Colm Meaney, Bruce McGill, Leslie Bibb",Released,8,7.4,f,f,"{""criminal mastermind"",assassin,prison,investigation,justice,""district attorney"",""philadelphia, pennsylvania"",explosion,bomb,""secret passage"",deal,courtroom,""rape and revenge"",vigilantism,""vigilante justice""}"
35,307081,Redención (Southpaw),2015,película,"Acción, Drama",Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams, Forest Whitaker, Oona Laurence, 50 Cent",Released,8.5,7.4,f,f,"{tragedy,sports,death,""father daughter relationship"",fighter,boxing,""box ring""}"
36,278,Cadena perpetua,1994,película,"Drama, Crimen",Frank Darabont,"Morgan Freeman, Tim Robbins, Bob Gunton, William Sadler, Clancy Brown",Released,10,8.7,f,t,"{friendship,""based on novel or book"",prison,""wrongful imprisonment"",corruption,redemption,""police brutality"",freedom,hope,""prison cell"",delinquent,""parole board"",""prison escape"",""interracial friendship"",""framed for murder"",1940s,voiceover}"
37,637,La vida es bella,1997,película,"Comedia, Drama",Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric",Released,9,8.4,f,f,"{""dark comedy"",romcom,dark,admiring,""loss of loved one"",italy,nazi,""world war ii"",reflective,""dying and death"",bookshop,""love of one's life"",""self sacrifice"",riddle,""mass murder"",""concentration camp"",fascism,""holocaust (shoah)"",deportation,""jew persecution"",""story teller"",""riding a bicycle"",""national socialism"",charade,""concentration camp prisoner"",war,""nazi germany""}"
38,489,El indomable Will Hunting,1997,película,Drama,Gus Van Sant,"Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård, Minnie Driver",Released,7.7,8.2,f,f,"{inspirational,""boston, massachusetts"",""group of friends"",genius,flashback,""male friendship"",thoughtful,courtroom,mathematics,psychologist,janitor,dating,southie,""college professor"",philosophical,prodigy,""math genius"",""foster kid"",""fear of change"",""abused as a child"",""massachusetts institute of technology (mit)"",""math professor""}"
39,4922,El curioso caso de Benjamin Button,2008,película,"Drama, Fantasía, Romance",David Fincher,"Brad Pitt, Cate Blanchett, Taraji P. Henson, Julia Ormond, Jason Flemyng",Released,7.5,7.6,f,f,"{""new york city"",""period drama"",""historical fiction"",hospital,travel,intense,""fictional biography"",introspective,navy,funeral,diary,tea,""magic realism"",""based on short story"",""reverse aging"",serene}"
40,297,¿Conoces a Joe Black?,1998,película,"Fantasía, Drama, Romance",Martin Brest,"Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber, Marcia Gay Harden",Released,7.5,7.3,f,f,"{appreciative,compassionate,doctor,romantic,""based on play or musical"",""life and death"",""broken engagement"",""love at first sight"",fireworks,""religion and supernatural"",fate,""teenage crush"",""grim reaper"",millionaire,""death personified"",""death incarnate"",""angel of death"",""encontro marcado""}"
41,453,Una mente maravillosa,2001,película,"Drama, Romance",Ron Howard,"Russell Crowe, Jennifer Connelly, Ed Harris, Paul Bettany, Christopher Plummer",Released,9,7.9,f,f,"{""based on novel or book"",self-discovery,genius,professor,""based on true story"",""based on real person"",""love of one's life"",mathematics,""math genius"",""math professor"",schizophrenia,paranoia,massachusetts,mathematician,""economic theory"",""princeton university"",""nobel prize"",""mathematical theorem"",delusion,""harvard university"",""code breaking"",cryptography,""biographical drama""}"
42,671,Harry Potter y la piedra filosofal,2001,película,"Aventura, Fantasía",Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton",Released,8,7.9,f,f,"{ghost,friendship,""based on novel or book"",""boarding school"",witch,magic,""fantasy world"",wizard,""based on young adult novel"",""london, england"",school,""school friend"",""child hero"",""school of witchcraft"",""chosen one"",owl,joyous,enchant}"
